source,target,status
/apply-for-an-itin-loan/,/apply,301
/itin-application-2/,/how-to-get-an-itin,301
/what-is-an-itin/,/how-to-get-an-itin,301
/individual-taxpayer-identification-number/,/how-to-get-an-itin,301
/itin-auto-loan/,/itin-auto-loan,301
/itin-credit-card/,/itin-credit-cards,301
/basics-of-lending/,/itin-loans,301
/2023/04/itin-loans/,/itin-loans,301
/2023/05/itin-loans-financing-an-itin-mortgage/,/itin-mortgage,301
/2023/08/what-is-an-itin-home-loan/,/itin-mortgage,301
/2023/10/sailing-the-mortgage-seas-with-an-itin-a-beacon-of-hope/,/itin-mortgage,301
/2023/10/what-is-an-itin-mortgage/,/itin-mortgage,301
/2023/09/can-you-get-an-itin-loan-with-bad-credit/,/articles/itin-loan-with-bad-credit,301
/2023/10/itin-vs-ssn-understanding-the-key-differences/,/itin-vs-ssn,301
/2023/10/how-to-change-itin-to-ssn-with-irs-online-a-simple-guide/,/itin-vs-ssn,301
/2023/10/ayesha-asks-how-can-i-build-my-credit-history-with-an-itin-are-there-specific-lending-products-that-can-help/,/itin-credit-cards,301
/2023/11/sofia-asks-can-i-open-a-credit-card-account-with-an-itin-what-are-the-benefits/,/itin-credit-cards,301
/2023/11/navigating-the-credit-card-world-with-my-itin-number-lets-talk/,/itin-credit-cards,301
/2023/11/credit-cards-and-itin-numbers/,/itin-credit-cards,301
/2023/11/carlos-asks-im-planning-to-start-a-small-business-can-i-get-a-business-loan-with-an-itin/,/itin-business-loans,301
/2023/12/youssef-asks-i-need-to-pay-for-my-college-tuition-are-there-student-loan-options-for-itin-holders/,/itin-personal-loans,301
/2023/11/using-my-itin-number-to-secure-a-mortgage-a-personal-journey/,/itin-mortgage,301
/2023/11/itin-auto-loans-and-me/,/itin-auto-loan,301
/2023/11/my-journey-with-an-itin-personal-loan/,/itin-personal-loans,301
/2023/11/itin-home-equity-loan-is-it-possible/,/itin-mortgage,301
/2023/11/personally-i-never-thought-i-could-get-a-personal-loan-with-an-itin-number/,/itin-personal-loans,301
/2023/11/let-me-tell-you-how-i-got-myself-an-itin-number/,/how-to-get-an-itin,301
/2023/11/is-the-itin-number-application-difficult-to-fill-out/,/how-to-get-an-itin,301
/2023/10/lending-options-for-individuals-with-an-itin-a-comprehensive-guide/,/itin-loans,301
/2023/11/what-kinds-of-financing-options-exist-with-in-itin-number/,/itin-loans,301
/2023/11/can-i-really-use-my-itin-number-for-financial-growth/,/itin-loans,301
